"Date","Open","Close","High","Low","Number of shares traded","Volume ","Nombre de contrats","Capitalization","Adjusted price"
"16/04/2024","82.00","81.50","83.00","81.05","138578.00","11340434.32","205","4099004032.00","81.50"
"15/04/2024","71.00","78.00","78.09","70.00","75414.00","5638126.71","213","3922973184.00","78.00"
"09/04/2024","66.90","71.00","72.00","66.00","43719.00","3024551.67","123","3570911488.00","71.00"
"08/04/2024","66.70","66.52","66.90","66.35","63690.00","4234182.80","48","3345592002.56","66.52"
"05/04/2024","65.95","66.60","66.79","65.95","7194.00","477809.84","41","3349615564.80","66.60"
"04/04/2024","64.00","65.00","65.00","64.00","4772.00","308562.20","32","3269144320.00","65.00"
"03/04/2024","63.40","63.70","64.80","63.40","2966.00","188457.59","27","3203761433.60","63.70"
"02/04/2024","64.93","63.40","64.93","63.20","2002.00","127384.76","15","3188673075.20","63.40"
"01/04/2024","64.63","63.00","64.63","63.00","36299.00","2287757.78","52","3168555264.00","63.00"
"29/03/2024","64.50","64.00","64.80","64.00","44645.00","2859407.83","38","3218849792.00","64.00"
"28/03/2024","64.50","64.91","64.91","64.00","693.00","44419.96","12","3264617812.48","64.91"
"27/03/2024","64.00","64.94","64.96","64.00","945.00","61282.72","17","3266126648.32","64.94"
"26/03/2024","64.90","64.94","64.98","62.05","29724.00","1851221.63","57","3266126648.32","64.94"
"25/03/2024","63.01","63.15","63.15","63.01","621.00","39130.81","7","3176099443.20","63.15"
"22/03/2024","63.65","63.00","63.99","62.00","96114.00","5966689.09","66","3168555264.00","63.00"
"21/03/2024","64.00","63.60","64.00","63.60","2544.00","161950.59","20","3198731980.80","63.60"
"20/03/2024","64.00","63.50","64.00","63.50","5447.00","348268.47","55","3193702528.00","63.50"
"19/03/2024","64.70","64.00","64.70","63.99","46204.00","2958138.06","99","3218849792.00","64.00"
"18/03/2024","65.99","65.89","66.00","64.56","9183.00","594577.03","37","3313906449.92","65.89"
"15/03/2024","64.54","65.99","65.99","64.54","601.00","39514.99","6","3318935902.72","65.99"
"14/03/2024","64.72","64.50","66.20","64.50","25856.00","1675362.24","37","3243997056.00","64.50"
"13/03/2024","64.50","64.70","66.70","64.50","6248.00","403845.80","38","3254055961.60","64.70"
"12/03/2024","66.60","65.00","66.60","64.52","10930.00","710555.13","61","3269144320.00","65.00"
"11/03/2024","67.25","65.00","67.25","65.00","22616.00","1487417.66","112","3269144320.00","65.00"
"08/03/2024","67.01","68.00","68.00","67.00","4478.00","300642.51","31","3420027904.00","68.00"
"07/03/2024","66.95","67.20","67.20","66.85","11389.00","763000.00","28","3379792281.60","67.20"
"06/03/2024","67.20","67.00","67.20","66.67","451.00","30172.98","15","3369733376.00","67.00"
"05/03/2024","66.70","67.00","67.20","66.67","62914.00","4214887.64","47","3369733376.00","67.00"
"04/03/2024","67.20","66.67","67.20","66.60","1464.00","97724.80","12","3353136181.76","66.67"
"01/03/2024","67.20","67.00","67.20","67.00","989.00","66338.82","13","3369733376.00","67.00"
"29/02/2024","67.00","67.00","67.30","67.00","10694.00","717617.30","31","3369733376.00","67.00"
"28/02/2024","67.25","67.00","67.25","67.00","7902.00","529506.50","25","3369733376.00","67.00"
"27/02/2024","67.30","67.25","67.30","66.56","3130.00","209635.37","51","3382307008.00","67.25"
"26/02/2024","67.30","67.30","67.40","66.90","13656.00","915172.50","33","3384821734.40","67.30"
"23/02/2024","67.35","67.30","67.35","67.00","11682.00","783049.55","43","3384821734.40","67.30"
"22/02/2024","67.50","67.40","67.50","67.00","15687.00","1051101.40","29","3389851187.20","67.40"
"21/02/2024","67.50","67.00","67.50","67.00","20934.00","1405114.61","98","3369733376.00","67.00"
"20/02/2024","67.50","67.15","67.80","67.11","5112.00","344779.92","34","3377277555.20","67.15"
"19/02/2024","67.50","67.50","68.00","67.10","2687.00","181330.50","32","3394880640.00","67.50"
"16/02/2024","68.00","67.85","68.00","67.85","77.00","5232.10","7","3412483724.80","67.85"
"15/02/2024","68.20","67.50","68.20","67.50","5861.00","396155.15","39","3394880640.00","67.50"
"14/02/2024","68.00","68.20","68.20","67.80","1053.00","71634.40","23","3430086809.60","68.20"
"13/02/2024","68.20","68.20","68.25","67.72","10543.00","717311.26","31","3430086809.60","68.20"
"12/02/2024","68.25","68.00","68.25","67.61","5728.00","389770.07","21","3420027904.00","68.00"
"09/02/2024","68.00","67.65","68.00","67.40","10640.00","721722.22","34","3402424819.20","67.65"
"08/02/2024","68.00","68.00","68.20","67.83","15324.00","1042038.61","25","3420027904.00","68.00"
"07/02/2024","68.25","68.00","68.25","68.00","10861.00","738561.75","15","3420027904.00","68.00"
"06/02/2024","68.00","68.00","68.25","67.90","11597.00","788630.95","38","3420027904.00","68.00"
"05/02/2024","68.10","68.00","68.25","68.00","7960.00","541622.75","31","3420027904.00","68.00"
"02/02/2024","68.00","68.00","68.00","68.00","2527.00","171836.00","16","3420027904.00","68.00"
"01/02/2024","68.00","68.00","68.00","68.00","35.00","2380.00","4","3420027904.00","68.00"
"31/01/2024","67.00","67.55","68.00","67.00","13232.00","891922.64","34","3397395366.40","67.55"
"30/01/2024","67.50","67.12","68.00","67.05","6496.00","437329.86","28","3375768719.36","67.12"
"29/01/2024","68.00","68.00","68.00","67.37","2035.00","137178.35","14","3420027904.00","68.00"
"26/01/2024","68.00","67.25","68.00","67.25","6201.00","417102.30","21","3382307008.00","67.25"
"25/01/2024","68.35","68.00","68.35","67.50","3478.00","236107.95","27","3420027904.00","68.00"
"24/01/2024","68.35","67.50","68.35","67.50","2125.00","143914.45","32","3394880640.00","67.50"
"23/01/2024","68.50","67.50","68.60","67.50","4737.00","320392.99","35","3394880640.00","67.50"
"22/01/2024","68.50","68.49","68.50","68.00","11182.00","760897.48","17","3444672222.72","68.49"
"19/01/2024","68.00","68.20","68.20","67.95","945.00","64391.15","16","3430086809.60","68.20"
"18/01/2024","69.00","68.00","69.00","68.00","5007.00","340765.62","28","3420027904.00","68.00"
"17/01/2024","68.00","68.90","69.15","68.00","16291.00","1123059.58","36","3465292979.20","68.90"
"16/01/2024","68.51","68.90","68.90","68.00","1711.00","116891.23","15","3465292979.20","68.90"
"15/01/2024","68.61","68.51","68.98","68.51","510.00","35147.51","9","3445678113.28","68.51"
"12/01/2024","69.00","68.49","69.00","68.49","2230.00","153407.73","16","3444672222.72","68.49"
"10/01/2024","67.50","68.45","68.50","67.50","6474.00","440613.82","31","3442660441.60","68.45"
"09/01/2024","67.87","67.30","67.87","67.00","10455.00","701111.70","30","3384821734.40","67.30"
"08/01/2024","67.00","67.10","67.20","67.00","15865.00","1064219.53","24","3374762828.80","67.10"
"05/01/2024","67.87","67.00","67.87","66.90","2270.00","152034.02","31","3369733376.00","67.00"
"04/01/2024","67.68","67.01","67.90","67.01","3258.00","220822.47","14","3370236321.28","67.01"
"03/01/2024","67.75","66.93","67.75","66.93","2350.00","157717.61","10","3366212759.04","66.93"
"02/01/2024","67.70","67.00","67.75","67.00","7733.00","518200.90","39","3369733376.00","67.00"
"29/12/2023","67.00","67.75","67.75","66.89","10389.00","701101.63","33","3407454272.00","67.75"
"28/12/2023","67.00","67.00","67.00","66.90","15419.00","1032880.85","44","3369733376.00","67.00"
"27/12/2023","67.06","67.00","67.06","66.85","10997.00","736815.37","46","3369733376.00","67.00"
"26/12/2023","67.90","67.20","67.90","67.20","215.00","14471.25","5","3379792281.60","67.20"
"25/12/2023","66.82","67.00","68.00","66.82","1626.00","109173.15","22","3369733376.00","67.00"
"22/12/2023","67.02","66.84","67.90","66.84","17822.00","1193575.09","72","3361686251.52","66.84"
"21/12/2023","67.90","67.00","68.00","67.00","12479.00","836424.70","59","3369733376.00","67.00"
"20/12/2023","67.98","67.00","67.98","67.00","10012.00","671398.70","51","3369733376.00","67.00"
"19/12/2023","67.01","67.10","67.20","67.01","1356.00","90958.45","8","3374762828.80","67.10"
"18/12/2023","67.00","67.00","67.80","67.00","3763.00","252130.70","44","3369733376.00","67.00"
"15/12/2023","68.15","67.00","68.15","67.00","10143.00","680360.86","42","3369733376.00","67.00"
